batsman,runs,wickets,balls
MDKJ Perera,14,2,14
AM Rahane,3055,91,2589
R Dravid,2173,77,1921
STR Binny,765,37,628
BJ Hodge,1399,46,1145
AL Menaria,395,22,374
KK Cooper,115,9,75
R Shukla,19,2,25
DA Warner,3985,102,2856
UBT Chand,300,20,312
DPMD Jayawardene,1806,64,1494
MC Juneja,125,7,132
AD Russell,574,20,345
J Botha,408,22,373
IK Pathan,1149,53,968
NV Ojha,1542,73,1360
JEC Franklin,327,11,305
SR Tendulkar,2331,71,1964
RG Sharma,4184,135,3301
KD Karthik,2894,122,2378
KA Pollard,2342,85,1634
Harbhajan Singh,790,53,597
AT Rayudu,2411,88,1967
NLTC Perera,421,24,322
N Saini,140,11,149
Mandeep Singh,1111,57,956
SE Marsh,2473,65,1885
DJ Hussey,1316,49,1099
Azhar Mahmood,388,19,313
DA Miller,1552,45,1117
MJ Guptill,183,9,150
WP Saha,1553,63,1229
GJ Maxwell,1225,50,763
AR Patel,606,29,499
LMP Simmons,1079,27,862
PA Patel,2316,107,2032
N Rana,433,15,349
HH Pandya,404,21,296
KV Sharma,317,21,284
AM Nayar,664,39,590
SV Samson,1426,55,1183
SR Watson,2612,85,1944
SPD Smith,1689,50,1322
JP Faulkner,524,28,407
CA Pujara,390,18,399
V Sehwag,2713,98,1789
DR Smith,2379,81,1787
BB McCullum,2736,100,2140
SK Raina,4526,133,3333
RA Jadeja,1725,76,1452
Ishan Kishan,319,14,255
DJ Bravo,1254,54,1023
Q de Kock,725,25,564
KK Nair,1153,47,938
JP Duminy,1990,48,1605
RR Pant,563,21,389
CH Morris,433,13,275
P Negi,352,20,284
MA Agarwal,810,47,695
SS Iyer,806,30,648
KM Jadhav,880,37,681
Yuvraj Singh,2579,100,2042
AD Mathews,722,31,597
SS Tiwary,1271,43,1086
NM Coulter-Nile,52,7,57
RT Ponting,91,8,131
MEK Hussey,1976,52,1628
M Vijay,2511,91,2094
S Badrinath,1438,48,1229
MS Dhoni,3553,105,2640
R Ashwin,231,20,254
B Laughlin,4,1,10
AS Rajpoot,6,1,14
AP Tare,339,24,291
SW Billings,226,10,172
CJ Anderson,521,19,413
F du Plessis,1294,39,1040
RA Tripathi,391,12,273
BA Stokes,316,11,230
R Bhatia,342,29,306
DL Chahar,14,1,7
A Zampa,5,2,10
AB Dinda,26,9,55
Imran Tahir,18,4,29
CH Gayle,3610,90,2424
V Kohli,4412,126,3490
AB de Villiers,3460,85,2381
SN Khan,176,8,108
DJ Hooda,367,23,287
Ankit Sharma,87,7,74
DS Kulkarni,90,9,103
AC Gilchrist,2046,76,1514
PC Valthaty,499,22,430
SD Chitnis,93,7,94
RJ Harris,116,12,122
P Kumar,338,34,339
SJ Srivastava,5,1,6
JD Ryder,596,29,473
MK Pandey,2211,77,1896
RV Uthappa,3767,131,2924
CJ Ferguson,98,6,122
AA Jhunjhunwala,217,14,220
MR Marsh,225,12,205
JR Hopes,417,17,321
LA Pomersbach,301,11,244
ST Jayasuriya,760,29,543
SM Pollock,147,8,117
PR Shah,91,8,93
CRD Fernando,4,1,4
VS Yeligati,2,1,3
OA Shah,505,13,389
M Kaif,259,16,260
DL Vettori,121,7,110
R Vinay Kumar,304,26,290
Z Khan,116,15,152
S Aravind,59,3,57
M Muralitharan,20,6,34
G Gambhir,4112,131,3375
YK Pathan,2910,99,2053
Shakib Al Hasan,497,25,397
SA Yadav,602,29,480
PP Chawla,514,42,477
UT Yadav,94,8,98
S Dhawan,3541,108,2971
MC Henriques,965,35,776
Mohammad Nabi,2,1,4
Rashid Khan,11,2,10
HM Amla,575,13,410
M Vohra,957,38,748
EJG Morgan,854,38,723
MM Sharma,112,13,114
KC Cariappa,15,3,21
I Sharma,45,7,63
Sandeep Sharma,25,1,34
JH Kallis,2419,89,2271
CA Lynn,382,10,248
YV Takawale,191,8,179
JA Morkel,967,40,708
KP Pietersen,1000,29,753
AJ Finch,1601,58,1244
SC Ganguly,1343,54,1284
Mohammad Hafeez,64,8,87
LR Shukla,405,29,365
AB Agarkar,177,8,155
M Kartik,112,7,112
ML Hayden,1096,28,803
LRPL Taylor,1010,41,835
Y Nagar,285,15,264
ER Dwivedi,24,2,15
BCJ Cutting,124,5,68
Bipul Sharma,187,6,127
AP Majumdar,87,4,78
B Kumar,158,18,172
R Sharma,66,11,83
A Nehra,39,8,63
IR Jaggi,76,5,100
CL White,962,35,784
DT Christian,413,23,357
B Chipli,280,16,263
A Ashish Reddy,280,15,206
A Mishra,339,28,381
DW Steyn,166,22,177
V Pratap Singh,0,1,2
RE Levi,83,6,75
RJ Peterson,32,3,31
KL Rahul,724,26,586
DJG Sammy,295,15,247
BR Dunk,40,3,36
CM Gautam,169,9,149
M Morkel,122,11,100
WD Parnell,63,9,81
MN Samuels,161,12,175
SL Malinga,88,12,108
PP Ojha,16,10,50
MM Patel,39,5,45
Yashpal Singh,47,4,69
AN Ghosh,7,2,10
BAW Mendis,3,2,8
Y Venugopal Rao,980,42,854
S Sriram,31,2,37
TR Birt,75,5,61
VR Aaron,45,3,57
PA Reddy,164,10,170
KC Sangakkara,1680,69,1423
GH Vihari,277,18,326
R Rampaul,50,5,52
A Mithun,34,5,29
JD Unadkat,5,1,13
MS Bisla,794,37,713
MK Tiwary,1638,58,1435
RN ten Doeschate,326,17,246
KMDN Kulasekara,5,0,2
P Sahu,19,0,13
KJ Abbott,13,1,9
S Sohal,368,18,301
TM Dilshan,1138,41,1012
JJ van der Wath,18,2,18
R Ninan,3,1,6
L Ronchi,34,3,37
DJ Thornely,39,3,52
S Chanderpaul,25,3,34
MV Boucher,387,15,314
B Akhil,76,7,60
DB Das,304,12,262
SP Narine,271,17,194
HH Gibbs,886,32,813
RP Singh,52,15,86
PD Collingwood,203,4,157
AB McDonald,123,5,101
MJ Lumb,278,10,195
FY Fazal,183,9,176
AC Voges,181,6,143
P Dogra,127,12,149
SK Warne,197,19,227
S Narwal,37,4,31
SW Tait,23,3,29
SK Trivedi,42,8,66
VVS Laxman,276,16,276
RV Gomez,50,7,55
S Sreesanth,34,3,53
GC Smith,731,30,682
M Manhas,514,24,487
MD Mishra,235,15,217
RJ Quiney,103,7,104
C Nanda,0,1,2
DJ Harris,111,3,102
AUK Pathan,39,5,28
J Syed Mohammad,29,2,28
Gurkeerat Singh,342,23,288
KH Pandya,480,12,308
JC Buttler,527,20,373
S Nadeem,26,14,82
Vishnu Vinod,19,3,29
TM Head,204,6,152
Sachin Baby,136,9,107
PJ Cummins,77,6,59
Mohammed Shami,46,7,50
VH Zol,29,2,28
J Theron,10,2,14
GJ Bailey,660,29,559
Sunny Singh,43,4,34
L Balaji,36,7,53
MS Wade,22,3,35
CA Ingram,21,2,25
DH Yagnik,168,9,135
R Dhawan,153,7,139
C Munro,30,1,30
MJ McClenaghan,63,7,51
S Anirudha,136,8,116
SA Asnodkar,423,19,346
Sohail Tanvir,35,3,31
M Rawat,55,5,71
CR Brathwaite,95,8,58
KS Williamson,411,12,319
BB Sran,3,0,3
UT Khawaja,127,5,103
Niraj Patel,121,5,122
T Henderson,11,1,16
AD Mascarenhas,79,10,87
Kamran Khan,3,1,6
R McLaren,159,8,175
PJ Sangwan,24,6,40
DJ Jacobs,92,7,99
TD Paine,10,2,26
Harpreet Singh,20,2,28
PV Tambe,18,1,38
JJ Bumrah,25,3,29
AS Raut,194,11,178
MP Stoinis,163,7,137
JDP Oram,106,8,114
K Goel,218,14,237
SM Katich,240,10,188
RS Bopara,531,19,465
MS Gony,99,9,78
T Thushara,12,2,20
WA Mota,56,5,78
B Lee,124,10,104
RR Powar,67,3,66
TL Suman,676,30,592
R Sathish,269,16,238
CJ McKay,8,1,16
MG Johnson,151,14,160
Shivam Sharma,5,1,4
S Rana,87,5,82
MA Starc,96,6,99
HV Patel,47,8,41
YS Chahal,15,2,30
P Awana,5,3,17
DB Ravi Teja,373,20,324
RR Raje,20,1,19
RR Rossouw,53,6,56
Harmeet Singh,18,2,14
TG Southee,54,4,38
JDS Neesham,42,3,48
A Singh,2,4,13
SS Shaikh,6,0,7
AG Paunikar,48,5,59
DE Bollinger,21,1,22
A Symonds,973,26,760
KB Arun Karthik,51,5,51
Iqbal Abdulla,87,1,78
BB Samantray,125,5,115
BJ Rohrer,193,7,144
A Flintoff,62,2,52
R Bishnoi,19,3,20
A Kumble,35,2,47
Joginder Sharma,36,4,34
BE Hendricks,1,1,4
RS Gavaskar,2,1,9
SE Bond,1,1,3
S Vidyut,145,8,116
CK Kapugedera,16,3,24
Kamran Akmal,124,4,79
K Rabada,55,3,66
SB Jakati,28,2,31
RE van der Merwe,159,12,151
JE Taylor,3,0,3
JO Holder,38,5,34
Anureet Singh,33,4,44
Karanveer Singh,12,1,18
W Jaffer,130,7,127
Misbah-ul-Haq,117,9,88
DT Patil,13,1,14
RR Sarwan,73,3,77
I Malhotra,7,0,4
Salman Butt,192,7,162
SP Fleming,192,9,167
Younis Khan,3,1,8
D Salunkhe,33,1,25
Pankaj Singh,7,2,14
A Chopra,53,5,75
T Taibu,31,3,29
SB Styris,131,7,136
SB Bangar,49,6,61
WPUJC Vaas,75,7,77
SN Thakur,7,3,12
AF Milne,7,3,15
S Badree,13,5,28
NS Naik,23,2,32
JM Kemp,26,2,26
S Tyagi,3,0,4
SP Goswami,241,15,265
M Ntini,11,1,19
V Shankar,101,2,77
CJ Jordan,3,1,5
Shoaib Malik,51,4,49
VY Mahesh,15,2,28
Mohammad Asif,3,2,8
GD McGrath,4,1,6
NJ Maddinson,20,3,24
D Wiese,126,5,93
AN Ahmed,36,1,26
KW Richardson,36,3,42
Parvez Rasool,17,2,21
Umar Gul,39,3,20
J Suchith,48,1,32
LA Carseldine,80,3,68
SM Harwood,8,0,10
A Chandila,4,1,8
LJ Wright,102,4,63
DAJ Bracewell,12,0,9
AC Thomas,20,2,21
MN van Wyk,163,3,130
SB Joshi,6,2,16
P Parameswaran,1,0,2
Shahid Afridi,81,8,53
AS Yadav,49,7,44
AA Chavan,12,1,12
F Behardien,14,2,15
J Arunkumar,23,3,25
B Sumanth,35,1,38
KP Appanna,2,1,4
Y Gnaneswara Rao,19,1,18
M Ashwin,0,1,2
A Choudhary,25,2,22
AA Bilakhia,69,5,86
Mashrafe Mortaza,2,0,2
AC Blizzard,120,7,95
AD Nath,20,4,32
S Kaushik,0,1,2
A Uniyal,4,1,8
Swapnil Singh,12,3,23
NL McCullum,26,3,24
VS Malik,7,1,7
MF Maharoof,177,10,130
AP Dole,34,2,24
Anirudh Singh,63,4,70
BMAJ Mendis,23,3,30
MA Khote,24,2,21
GR Napier,15,1,17
Shoaib Ahmed,1,2,8
LPC Silva,40,2,26
H Das,2,1,6
DNT Zoysa,11,1,8
AG Murtaza,10,1,15
IC Pandey,0,1,3
SMSM Senanayake,10,1,17
TM Srivastava,8,1,12
GB Hogg,22,2,24
VRV Singh,4,1,3
SB Wagh,2,2,5
MJ Clarke,98,6,97
SP Jackson,38,2,33
C de Grandhomme,126,8,97
CR Woakes,46,3,50
M Klinger,72,4,78
PSP Handscomb,6,1,13
AB Barath,42,2,43
ND Doshi,0,1,14
D du Preez,10,1,14
Washington Sundar,9,0,9
S Kaul,9,0,13
JJ Roy,59,2,42
K Upadhyay,12,0,9
A Mukund,19,2,24
BJ Haddin,18,1,12
RG More,2,0,2
DJ Muthuswami,1,1,4
Basil Thampi,28,1,27
Ankit Soni,7,2,9
R Tewatia,35,2,22
X Thalaivan Sargunam,10,1,18
BA Bhatt,6,0,7
T Kohli,11,3,22
DS Lehmann,18,2,19
AJ Tye,53,1,29
CK Langeveldt,8,2,11
RD Chahar,3,0,2
LH Ferguson,1,0,1
PM Sarvesh Kumar,1,0,2
DP Vijaykumar,1,0,1
RR Bhatkal,0,2,4
Sunny Gupta,0,1,2
Jaskaran Singh,8,2,13
NJ Rimmington,1,0,1
S Ladda,0,2,11
DP Nannes,4,1,14
S Gopal,14,2,29
Abdur Razzak,0,0,2
DR Martyn,19,2,26
D Kalyankrishna,3,1,8
TS Mills,8,3,13
FH Edwards,4,1,6
Kuldeep Yadav,20,2,24
TA Boult,5,0,8
L Ablish,0,0,2
AA Noffke,9,1,11
UA Birla,7,1,15
J Yadav,6,0,10
RS Sodhi,4,0,2
KAJ Roach,10,1,10
U Kaul,0,0,1
M de Lange,1,1,3
C Madan,14,1,18
S Randiv,2,1,5
AR Bawne,12,0,12
SA Abbott,15,1,13
DM Bravo,6,0,5
Mohammad Ashraful,2,1,10
Shoaib Akhtar,2,1,8
